,playerID,yearID,G,R,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,pos,avg
18026,coughbi01,1903,125,56,18,3,1,31.0,30.0,0.0,9,0.0,0.0,5.0,3.0,0.0,0.0,3B,0.2452431289640592
18027,coughbi01,1904,121,50,21,4,0,34.0,11.0,0.0,14,0.0,0.0,6.0,12.0,0.0,0.0,3B,0.25477707006369427
18028,coughbi01,1905,137,48,20,6,0,44.0,16.0,0.0,34,0.0,0.0,7.0,20.0,0.0,0.0,3B,0.25153374233128833
18029,coughbi01,1906,147,54,15,5,2,60.0,31.0,0.0,36,0.0,0.0,5.0,36.0,0.0,0.0,3B,0.23493975903614459
18030,coughbi01,1907,134,80,10,2,0,46.0,15.0,0.0,35,0.0,0.0,8.0,23.0,0.0,0.0,3B,0.24277456647398843
18056,counscr01,1997,52,20,9,2,1,16.0,1.0,1.0,18,17.0,2.0,3.0,3.0,1.0,5.0,2B,0.29878048780487804
18057,counscr01,1998,107,43,19,5,4,40.0,3.0,0.0,51,47.0,7.0,4.0,8.0,1.0,5.0,2B,0.2507462686567164
18058,counscr01,1999,87,24,7,0,0,11.0,1.0,0.0,14,24.0,0.0,0.0,5.0,2.0,2.0,2B,0.21839080459770116
18059,counscr01,2000,67,23,8,1,2,11.0,3.0,3.0,20,18.0,0.0,2.0,1.0,1.0,4.0,2B,0.3157894736842105
18060,counscr01,2001,141,76,22,3,4,38.0,6.0,8.0,61,76.0,3.0,2.0,6.0,6.0,9.0,2B,0.27510917030567683
18061,counscr01,2002,112,63,22,1,2,51.0,7.0,5.0,45,52.0,3.0,1.0,4.0,3.0,10.0,2B,0.28211009174311924
18062,counscr01,2003,89,40,6,3,3,21.0,11.0,4.0,41,32.0,0.0,2.0,3.0,2.0,4.0,2B,0.23432343234323433
18072,courtcl01,1952,119,38,24,3,5,50.0,0.0,2.0,39,26.0,0.0,1.0,5.0,0.0,9.0,C,0.2857142857142857
18073,courtcl01,1953,106,28,12,2,4,19.0,0.0,1.0,25,20.0,0.0,1.0,3.0,0.0,14.0,C,0.2507042253521127
18074,courtcl01,1954,122,25,18,3,4,37.0,2.0,1.0,30,7.0,0.0,3.0,4.0,3.0,10.0,C,0.2695214105793451
18075,courtcl01,1955,94,33,11,4,3,40.0,0.0,0.0,26,9.0,6.0,1.0,3.0,4.0,6.0,C,0.3090909090909091
18076,courtcl01,1956,101,31,20,3,5,44.0,0.0,5.0,20,10.0,4.0,9.0,1.0,3.0,9.0,C,0.3003533568904594
18077,courtcl01,1957,91,23,14,1,6,27.0,0.0,0.0,16,11.0,5.0,12.0,0.0,0.0,6.0,C,0.2672413793103448
18078,courtcl01,1958,134,46,18,0,8,62.0,1.0,5.0,48,23.0,3.0,9.0,3.0,5.0,11.0,C,0.2511111111111111
18132,covinwe01,1956,75,17,4,0,2,16.0,1.0,0.0,16,20.0,3.0,1.0,2.0,0.0,2.0,OF,0.2826086956521739
18133,covinwe01,1957,96,51,4,8,21,65.0,4.0,1.0,29,44.0,7.0,2.0,5.0,7.0,5.0,OF,0.28353658536585363
18134,covinwe01,1958,90,43,12,1,24,74.0,0.0,0.0,20,35.0,7.0,5.0,3.0,2.0,7.0,OF,0.3299319727891156
18135,covinwe01,1959,103,38,17,3,7,45.0,0.0,1.0,26,41.0,8.0,3.0,1.0,2.0,13.0,OF,0.27882037533512066
18136,covinwe01,1960,95,25,16,1,10,35.0,1.0,2.0,15,37.0,1.0,1.0,0.0,2.0,9.0,OF,0.2491103202846975
18137,covinwe01,1961,105,34,11,0,12,47.0,0.0,0.0,25,33.0,2.0,2.0,2.0,3.0,8.0,OF,0.2698961937716263
18138,covinwe01,1962,116,36,12,1,9,44.0,0.0,0.0,19,44.0,1.0,2.0,1.0,5.0,9.0,OF,0.28289473684210525
18154,cowenal01,1974,110,28,7,1,1,25.0,5.0,0.0,23,38.0,0.0,1.0,2.0,1.0,10.0,OF,0.241635687732342
18155,cowenal01,1975,120,44,13,8,4,42.0,12.0,7.0,28,36.0,1.0,4.0,5.0,2.0,9.0,OF,0.2774390243902439
18156,cowenal01,1976,152,71,23,6,3,59.0,23.0,16.0,26,50.0,0.0,3.0,2.0,4.0,9.0,OF,0.26506024096385544
18157,cowenal01,1977,162,98,32,14,23,112.0,16.0,12.0,41,64.0,4.0,8.0,1.0,5.0,14.0,OF,0.3118811881188119
